No,Item/Function,Failure Mode,Effects of Failure,Potential Cause(s),Severity (S),Occurrence (O),Detection (D),RPN,Recommended Actions, RPN After
1,CT Gantry Rotation,Rotation failure,Image acquisition stops,Motor wear  ,8,5,6,240,Schedule motor maintenance,5-3-4=60
2,CT Gantry Rotation,Rotation speed unstable,Image artifacts,Vibration,7,5,6,210,Tighten bearing+balancing,5-4-4=80
3,CT Gantry Rotation,No rotation start,Scan aborted,Control board fault,9,3,5,135,Replace control PCB,7-2-3=42
4,CT Gantry Rotation,Over-rotation noise,Long-term wear,Bearing dry,5,6,7,210,Lubrication routine,4-3-4=48
5,CT Gantry Rotation,Jerky rotation,Image streak,Loose belt,7,6,5,210,Retension belt,5-3-3=45
6,CT Gantry Motor,Motor overheating,System shutoff,Bad cooling,8,4,6,192,Improve cooling fan,6-2-3=36
7,CT Gantry Motor,Motor not power up,Unable to scan,Power loss,9,3,4,108,Check PSU,6-2-2=24
8,Slip Ring,Signal drop,Image freeze,Dust buildup,7,4,7,196,Clean slip ring,5-2-4=40
9,Slip Ring,Data noise,Artifacts,Oxidation,6,5,6,180,Clean+apply coating,4-3-3=36
10,Slip Ring,Power dropout,System reboot,Wear-out,8,3,5,120,Replace contacts,5-2-3=30
11,Gantry Cover,Crack on panel,Safety risk,Impact,5,2,5,50,Replace cover,3-1-2=6
12,Gantry Cover,Vibration noise,Discomfort,Loose screws,3,5,6,90,Tighten screws,2-2-3=12
13,Gantry Tilt,Tilt not moving,Positioning error,Motor jam,7,3,6,126,Service motor,5-2-3=30
14,Gantry Tilt,Unlevel patient,Scan inaccurate,Sensor miscal,8,3,6,144,Recalibrate sensor,6-2-3=36
15,Gantry Tilt,Slow movement,Delay,Weak motor,4,5,5,100,Motor replacement,3-3-2=18
16,Gantry Position Sensor,Wrong angle,Reconstruction error,Sensor drift,9,3,6,162,Recalibrate quarterly,6-2-3=36
17,Gantry Sensor,No reading,Scan disabled,Cable fault,8,3,5,120,Check wiring,5-2-2=20
18,Gantry Motion Control,Stall during scan,Mid-scan abort,Software bug,8,2,6,96,Firmware update,5-1-3=15
19,Gantry Motion Control,Random stop,Patient risk,EMI noise,9,2,7,126,Shielding improvement,6-1-3=18
20,Gantry Safety Interlock,Door open fail safe not working,Operator hazard,Switch fail,10,2,7,140,Replace switch,8-1-3=24
21,X-ray Tube,Filament burnout,No X-ray output,Aging,10,4,3,120,Tube replacement,8-2-2=32
22,X-ray Tube,Anode pitting,Reduced dose,Long-term heat,8,5,6,240,Monitor usage cycle,6-3-4=72
23,X-ray Tube,Arcing,Shutdown/Fire risk,Contamination,10,3,7,210,Regular cleaning,8-1-3=24
24,X-ray Tube,Overheating,Thermal trip,Cooling fail,9,4,6,216,Enhance cooling,6-2-3=36
25,X-ray Tube,Low radiation output,Underexposure,Filament wear,8,5,7,280,Replace filament,6-3-3=54
26,X-ray Tube,No beam start,Scan cancels,Power supply damage,9,3,5,135,Check HV PSU,6-2-2=24
27,X-ray Tube Cooling,Water pump fail,Tube overheats,Pump jam,9,4,6,216,Replace pump,6-2-3=36
28,X-ray Tube Cooling,Low coolant,Auto shutdown,Leakage,8,4,7,224,Check reservoir weekly,5-2-3=30
29,X-ray Tube Cooling,Fan failure,Thermal trip,Dust/clog,7,5,6,210,Clean fan filters,4-2-3=24
30,Heat Exchanger,Low efficiency,Tube overheats,Scaling,9,3,6,162,Periodic descaling,6-1-2=12
31,Filament Drive,Current unstable,Image noisy,Loose connection,7,4,7,196,Tighten wiring,5-2-3=30
32,Filament Drive,No current,TUBE OFF,Power card fault,9,3,6,162,Replace power board,6-1-2=12
33,HV Generator,Voltage drop,Under dose,Faulty inverter,9,3,7,189,Replace IGBT,7-2-2=28
34,HV Generator,Sparking sound,Hazard,Moisture inside,10,3,7,210,Dry & seal cabinet,8-1-2=16
35,HV Generator,Overvoltage,TUBE damage,Control fail,10,2,8,160,Install surge protect,7-1-3=21
36,Anode Bearing,Wear noise,Heat rise,Aging,7,5,7,245,Bearing replace,5-2-3=30
37,Anode Rotor,Not spinning,Tube cracks failed cooling,Motor failure,10,3,8,240,Replace motor,7-1-3=21
38,Anode Rotor,RPM unstable,Streaks,Magnetic failure,8,3,6,144,Recalibrate drive,6-2-3=36
39,X-ray Tube Window,Contamination beam scatter,Low image clarity,Dust,7,4,7,196,Regular cleaning,4-2-3=24
40,X-ray Tube Window,Cracks,Radiation leak risk,Impact,10,2,8,160,Replace window,8-1-2=16
41,X-ray Housing,Oil leak,Thermal inefficiency,Seal wear,8,4,6,192,Seal replacement,6-2-3=36
42,X-ray Housing,Oil contamination,Arc risk,Particles,9,3,7,189,Oil filtering replace,6-1-3=18
43,X-ray Housing,Loose bolts,Vibration,Improper assembly,6,5,5,150,Tighten bolts,4-2-2=16
44,Cooling Sensor,Wrong reading,No protection,Bad calibration,9,3,7,189,Calibrate quarterly,6-1-2=12
45,Cooling Sensor,Sensor failure,Shutdown,Short circuit,8,3,6,144,Replace sensor,5-1-2=10
46,Cooling Fan,Low RPM,Heat accumulate,Dust clog,7,5,6,210,Clean fan monthly,4-2-3=24
47,Cooling Fan,No rotation,Immediate shutdown,Motor burn,8,3,6,144,Replace motor,5-1-3=15
48,Coolant Pipe,Leak,Thermal runaway,Hose crack,9,3,7,189,Replace hose,6-2-3=36
49,Heat Sensor,Slow response,Risk of overheating,Film aged,9,3,7,189,Sensor upgrade,6-2-2=24
50,Temp Monitoring SW,Alarm failure,Tube meltdown,Bug,10,2,8,160,Patch firmware,7-1-3=21
51,Detector Array,Dead detector element,Streak artifacts,Pixel burnout,8,4,6,192,Replace pixel module,6-2-3=36
52,Detector Array,Low sensitivity,Noisy image,Aging panel,7,5,6,210,Recalibrate detector gain,5-3-3=45
53,Detector Array,Over-response,Blooming artifacts,Saturation,7,4,5,140,Adjust gain setting,5-2-2=20
54,Scintillator Crystal,Yellowing,Low efficiency,Heat degradation,8,4,7,224,Replace crystal,6-2-3=36
55,Scintillator Crystal,Crack formation,Signal loss,Mechanical stress,9,3,7,189,Install shock dampers,6-2-2=24
56,Detector DAS Board,Channel dropout,Missing data,Loose connector,8,5,7,280,Reseat connectors,5-2-3=30
57,Detector DAS Board,Noise spikes,Banding,EMI,7,5,6,210,Shield cable harness,5-3-2=30
58,A/D Converter,Conversion error,Incorrect HU values,Clock drift,8,3,6,144,Replace timing crystal,6-1-2=12
59,A/D Converter,Converter failure,No image,IC burnout,9,3,7,189,Swap ADC board,6-1-2=12
60,Detector Preamp,Gain instability,Image variation,Temp drift,7,5,6,210,Improve thermal control,5-2-3=30
61,Detector Preamp,No amplification,Detector offline,Op-amp failure,8,3,6,144,Replace op-amp,5-2-2=20
62,Detector Power,Voltage dip,Signal loss,PSU aging,8,4,6,192,Upgrade PSU,5-2-3=30
63,Detector Power,Overvoltage,Board damage,Regulator fail,9,2,7,126,Add overvoltage protection,6-1-2=12
64,Detector Cable,Cable break,Intermittent image,Frequent bending,7,5,6,210,Use reinforced cable,5-2-3=30
65,Detector Cable,Signal interference,Banding noise,Poor shielding,7,5,7,245,Replace cable shield,5-2-3=30
66,DAS Cooling,Fan slow,Heat noise,Clog dust,6,6,6,216,Clean monthly,4-3-3=36
67,DAS Cooling,Overheat shutdown,Scan aborted,Fan failure,8,4,7,224,Replace fan assembly,6-2-3=36
68,Detector Alignment,Misaligned array,Geometric distortion,Mechanical shift,9,3,6,162,Re-align annually,6-2-2=24
69,Detector Alignment,Loose mount,Vibration noise,Screw loosen,7,5,6,210,Torque-tighten screws,5-2-3=30
70,DAS Firmware,Wrong calibration file,Inaccurate HU mapping,Update fail,9,2,7,126,Reload firmware,6-1-2=12
71,DAS Firmware,CRC error,No image decode,Data corrupted,9,2,6,108,Re-flash software,6-1-2=12
72,Detector Housing,Water ingress,Corrosion,Seal aging,9,3,6,162,Replace O-ring seals,6-1-2=12
73,Detector Housing,Dust accumulation,Heat rise,No maintenance,6,5,6,180,Schedule cleaning,4-2-3=24
74,X-ray Collimator,Stuck blades,Dose uneven,Motor jam,8,3,6,144,Service motor,6-1-2=12
75,X-ray Collimator,Blade misalignment,Scatter increase,Shock,7,4,7,196,Recalibrate position,5-2-3=30
76,Cone Beam Filter,Wrong filter setting,Patient over/under-dose,Operator error,9,3,5,135,Operator training,6-1-2=12
77,Cone Beam Filter,Filter jam,Cannot shape beam,Misassembly,8,3,6,144,Realign assembly,6-2-2=24
78,Detector Timing Clock,Clock drift,Sync error,Temp variation,8,3,7,168,Thermal compensation,6-2-2=24
79,Detector Timing Clock,Clock failure,Loss sync,Chip failure,9,2,8,144,Replace crystal module,6-1-2=12
80,Anti-Scatter Grid,Bent grid,Moiré artifacts,Impact,7,3,7,147,Replace grid,5-2-2=20
81,Image Recon Engine,Slow processing,Long waiting time,CPU overload,6,5,4,120,Upgrade CPU,4-3-2=24
82,Image Recon Engine,Algorithm crash,No output,Bug,9,3,6,162,Patch software,6-1-3=18
83,Image Recon Engine,Wrong kernel applied,Blurry image,User error,7,4,4,112,Improve UI prompt,5-2-2=20
84,GPU Board,GPU overheating,System crash,Dust,8,4,6,192,Clean cooling fins,5-2-3=30
85,GPU Board,GPU failure,No reconstruction,Chip failure,9,2,7,126,Replace board,6-1-2=12
86,Workstation RAM,RAM full,Slow UI,Too many processes,6,6,5,180,Increase RAM,4-3-2=24
87,Workstation RAM,RAM error,Freeze,Faulty module,8,2,6,96,Replace RAM stick,6-1-2=12
88,System SSD,Drive near full,Storage error,No data cleanup,6,6,5,180,Auto delete old scans,4-3-2=24
89,System SSD,Drive failure,Data loss,Wear-out,9,2,8,144,Use redundancy RAID,6-1-2=12
90,Patient Database,Corrupted DB,Cannot load history,Power failure,7,3,5,105,Regular backup,5-1-2=10
91,DICOM Export,Export fail,Delayed reporting,Network issues,6,5,5,150,Network check,4-3-2=24
92,DICOM Export,Wrong format,Unreadable by PACS,Config error,7,4,6,168,QA check workflow,5-2-2=20
93,PACS Communication,Upload timeout,Delayed diagnosis,Server overload,7,5,6,210,Load balancing,5-3-3=45
94,Networking Switch,Packet loss,Image transmission delay,Dust/heat,6,5,6,180,Clean+replace fan,4-3-2=24
95,Networking Switch,Complete failure,No data transfer,Power surge,9,2,7,126,Add surge protector,6-1-2=12
96,OS Crash,Blue screen,System halt,Driver conflict,8,4,6,192,Update drivers,5-2-3=30
97,User Console Touchscreen,Unresponsive panel,Control delay,Aging screen,6,5,6,180,Replace touch panel,4-3-3=36
98,User Console Touchscreen,Phantom touch,Wrong scan input,Moisture,7,4,7,196,Dry+replace cable,5-2-3=30
99,Keyboard Input,Keys stuck,Slow input,Dirt,4,6,6,144,Clean keyboard,2-3-2=12
100,Mouse Input,Cursor freeze,Cannot operate,USB fault,5,5,5,125,Replace mouse,3-3-2=18
101,Monitor Display,Dimming screen,Low visibility,Backlight aging,6,4,6,144,Replace backlight,4-2-3=24
102,Monitor Display,Dead pixel,Minor visual issue,Panel defect,3,3,6,54,Panel replace,2-2-2=8
103,Monitor Display,Flicker,Eye strain,Loose cable,5,5,6,150,Secure cable,3-3-2=18
104,UI Software,Menu freeze,Delay navigation,Memory leak,6,5,6,180,Fix code,4-2-3=24
105,UI Software,Button mis-trigger,Wrong setting,UI bug,7,4,6,168,QA testing,5-2-2=20
106,Login Authentication,Login fail,Access halted,Corrupt user file,6,4,5,120,Reset credentials,4-2-2=16
107,Backup System,Backup not scheduled,Data loss risk,Human error,8,4,7,224,Automate backup,5-2-2=20
108,Backup System,Restore error,Long recovery,Wrong version,7,3,6,126,Version control,5-2-2=20
109,Image Storage Server,Over capacity,Refuse new scans,No purge policy,7,5,6,210,Auto cleaning rules,5-2-2=20
110,Image Storage Server,Disk crash,Loss image,Drive fail,9,2,8,144,RAID mirror,6-1-2=12
111,Reconstruction GPU Temp,Too hot,Throttle speed,Heatsink dust,7,5,6,210,Deep clean fans,5-2-2=20
112,Reconstruction GPU Temp,Sensor error,No throttle,Faulty probe,9,3,7,189,Replace sensor,6-2-2=24
113,3D Rendering Engine,Render artifacts,Image misleading,Driver bug,8,3,6,144,Update driver,6-1-2=12
114,Window/Level Tool,Wrong HU display,Contrast wrong,User misadjust,6,5,5,150,Add auto presets,4-3-2=24
115,Dose Display UI,Dose not shown,Radiation safety risk,SW bug,9,3,7,189,Patch display module,6-2-2=24
116,Protocol Templates,Wrong preset,Incorrect scan,Human error,8,4,6,192,Lock critical templates,6-2-2=24
117,Scan Abort Handler,Abort not triggered,Safety hazard,Logic fail,10,2,7,140,Improve watchdog logic,7-1-2=14
118,Patient Info Input,Typo record,Mislabel report,Manual input,6,6,5,180,Add autofill OCR,4-3-2=24
119,Contrast Injection Sync,Mismatch timing,Phase error,Comm delay,8,4,6,192,Clock sync upgrade,6-2-2=24
120,Contrast Injection Sync,No sync,Enhancement missed,Cable fault,8,3,7,168,Replace cable,5-2-3=30
121,Main Power Supply,Shutdown mid-scan,Patient risk,Line drop,9,3,7,189,UPS addition,6-1-2=12
122,Main Power Supply,Surge input,Damage PSU,Lightning,10,2,8,160,Surge arrester,7-1-2=14
123,UPS Battery,Capacity low,No backup,Battery aging,7,5,6,210,Replace battery,5-2-3=30
124,UPS Battery,Fail to charge,Backup loss,Charger fault,8,3,6,144,Fix charger module,5-2-2=20
125,Grounding,High ground impedance,Shock hazard,Poor bonding,10,3,7,210,Rebond grounding,7-1-2=14
126,Cooling AC,Room temp high,Detector noise,AC failure,7,4,6,168,Repair AC unit,5-2-2=20
127,Cooling AC,Humidity high,Condensation risk,Drain clog,8,4,7,224,Unclog drain,6-2-2=24
128,Ventilation Fan,Fan failure,Overheat,Motor burn,8,3,6,144,Replace motor,6-1-2=12
129,Room Air Filter,Clog filter,Dust accumulation,No cleaning,6,6,6,216,Change filter schedule,4-3-3=36
130,Room Shielding,Lead panel crack,Radiation leak,Wear/damage,10,2,7,140,Replace shielding,7-1-2=14
131,Patient Table,Motor stall,Scan stop,Load overload,7,4,6,168,Upgrade motor,5-2-3=30
132,Patient Table,Position drift,Wrong slice location,Encoder drift,8,3,7,168,Re-calibrate,6-2-2=24
133,Table Sensor,Patient detect fail,Safety risk,IR beam blocked,9,3,7,189,Clean sensors,6-2-3=36
134,Table Lock,Table not lock,Movement during scan,Solenoid fail,9,3,7,189,Replace lock unit,6-2-2=24
135,Belt Strap,Buckle broken,Patient fall,Material fatigue,8,3,6,144,Replace strap,6-1-2=12
136,Emergency Stop,Not responding,Unsafe during fault,Switch stuck,10,2,7,140,Replace switch,8-1-2=16
137,Lead Apron,Torn,Scatter leak,Wear-out,9,2,6,108,Replace apron,6-1-2=12
138,Radiation Indicator Lamp,Not ON,Exposure unawareness,Bulb fail,7,4,5,140,Replace indicator,5-2-2=20
139,Warning Alarm,No beeping,Operator unaware,Speaker fail,9,2,6,108,Replace speaker,6-1-2=12
140,Fire Detection,Not triggering,Fire hazard,Sensor dust,10,2,7,140,Clean/replace sensor,8-1-2=16
141,Smoke Vent,Blocked smoke path,Fire spread risk,Dust,9,3,6,162,Clear vents,6-1-2=12
142,Access Door Sensor,Unregistered door open,Safety compromised,Magnet misalign,8,3,6,144,Re-align magnet,6-1-2=12
143,Contrast Pump,Flow irregular,Contrast timing off,Servo drift,7,4,6,168,Recalibrate pump,5-2-2=20
144,Contrast Pump,Leakage,Drug spill,Seal wear,8,3,7,168,Replace saline seal,6-2-2=24
145,IV Line,Kinked tube,Contrast not delivered,Patient arm position,6,5,6,180,Add kink-resistant line,4-3-2=24
146,Oxygen Port,No output,O2 valve stuck,Valve deposit,8,3,7,168,Clean valve,6-2-2=24
147,Intercom,No audio,Hard to communicate,Cable fault,5,5,5,125,Fix wiring,3-3-2=18
148,Patient Camera,Video lost,Monitoring impossible,Camera failure,5,4,6,120,Replace camera,3-2-2=12
149,Laser Position Marker,Weak beam,Wrong alignment,Dust on lens,6,5,6,180,Clean optics,4-2-2=16
150,Laser Position Marker,No laser output,Laser driver dead,Driver IC,7,3,6,126,Replace driver board,5-1-2=10
,,,,,,,,,,
